index,Tahun,Comments,preprocessed
51,2020,saya pengikut di FB sudah cukup lama berharap dapat hadiah dari Willy . saya memang cuma menggunakan FB sama wa saja .. berharap di FB bisa dapat hadiah ternyata sampai sekarang gak dapat .. saya relakan download ig untuk mengikuti Willy semoga dengan niat ini saya bisa dapat hadiah tapi saya gak mau download tik tok .. sebenarnya saya keberatan menggunakan ig + tik tok  karena boros paketan data .. ini saya niatkan komen dari bawah supaya bisa merasakan hadiah yang selama ini saya inginkan dari Willy,ikut fb harap hadiah willy fb wa harap fb hadiah rela download ig ikut willy moga niat hadiah download tik tok berat ig tik tok boros paket data niat komen rasa hadiah willy
52,2020,Sehat sehat ya banggg🔥🔥,sehat sehat ya bang api api
53,2020,semoga bisa dapat rejeki dari kk wili🙏,moga rejeki wili lipat tangan
54,2020,maaf kak aku spam like. aku salut sama kk wili mulai dari nol pake uang tabungan dan berjuang sendiri untuk jdi selebgram terkenal. aku salut sama kk wili🙌,maaf kak spam like salut wili nol pakai uang tabung juang selebgram kenal salut wili angkat tangan
55,2020,BMW Seri m5,bmw seri m
56,2020,Halo bang willie. Bang saya mau menawarkan kerjasama tambak udang. Boleh dong bang saya main kerumah sharing sama anak istri saya ya. Terimakasih bg Mdh"an di baca. Aamiin,halo bang willie bang tawar kerjasama tambak udang bang main rumah sharing anak istri ya terimakasih bang mudahmudahan baca amin
57,2020,DONE LIKE FULL POSTINGAN ABANGKU  ,done like ful postingan abang
58,2020,BISSMILLAH 500RIBU BUAT BELI BERAS ❤️,bissmillah ribu beli beras hati merah
59,2020,Kak willie,kak willie
60,2020,"Post Ke 2 komen juga ah
Bismilah dpt TF",post komen ah bismilah tf
61,2020,"Love and like dri postingan awal sampe akhir   , Bismillah semoga rezeki Bumil 5 juta buat beli AC, cuaca panas banget",love and like postingan bismillah moga rezeki bumil juta beli ac cuaca panas banget
62,2020,Kaa willi tampak ramping,kak willi ramping
63,2020,Bismillah dapet THR buat keluarga  ,bismillah thr keluarga
64,2020,Thr dong kak   buat lebaran dogn😍,thr kak lebaran dogn wajah senyum lebar mata hati
65,2020,Mau THR juga ko buat biaya nikah,thr biaya nikah
66,2020,Kayak gaya K-Pop 🤣🤣,kayak gaya pop tertawa terbahakbahak tertawa terbahakbahak
67,2020,Cowo kull😭😭,cowok kul wajah menang keras wajah menang keras
68,2020,Cool bgt,cool banget
69,2020,Bang will baca Dm aku bang. Aku butuh bngt pertolongan abang 😭😭🙏🏻  ,bang wil baca dm bang butuh banget tolong abang wajah menang keras wajah menang keras lipat tangan warna kulit cerah
70,2020,cek dm kooo 🙏🙏🙏,cek dm lipat tangan lipat tangan lipat tangan
71,2020,Kurus ya dulu bg😍,kurus ya bang wajah senyum lebar mata hati
72,2020,Kasih aku tantangan hadiah iphone dong kak😢,kasih tantang hadiah iphone kak wajah menang
73,2020, .dery_fan bener wkwk😂,dery fan wkwk wajah gembira urai air mata
74,2020,Ka baca DM saya 🙌😢,kak baca dm angkat tangan wajah menang
75,2020,komennya miris banget,komennya miris banget
76,2020,"Selamat malam, bro semoga cek DM dan bisa bantu kita yg di Gorontalo.. 🙏🙏🙏",selamat malam bro moga cek dm bantu gorontalo lipat tangan lipat tangan lipat tangan
77,2020,Dulu sama sekarang kok beda banget,beda banget
78,2020,Bismillah semoga dapat Rizki dari bang   sehat bang semoga Rizki nya lancar,bismillah moga rizki bang sehat bang moga rizki nya lancar
79,2020,"Semangat bang will   ., udah ngikutin dari fb.ig.yuu tube , snack fideo bismillah keciduk dapat iphone iku mesin capit manusia pokoknya dapet rejeki ...😍",semangat bang wil ikut fbigyuk tube snack fideo bismillah ciduk iphone iku mesin capit manusia pokok rejeki wajah senyum lebar mata hati
80,2020,Mau iphone kak😁,iphone kak wajah gembira dengan mata bahagia
81,2020,Bls dong plis😢,balas plis wajah menang
82,2020,Aku udah SMS juga..udah Follow juga 😭😭🙏,sms follow wajah menang keras wajah menang keras lipat tangan
83,2020,Tolong aku kak😭,tolong kak wajah menang keras
84,2020,Panjang umur sehat selalu,umur sehat
85,2020,Semoga KK orng baik ..😢,moga orang wajah menang
86,2020,Ka wilie buka pesan dari aku plis😢,kak wilie buka pesan plis wajah menang
87,2020,Smoga dpt rejeki dr kak willy biar bsa bikin dapur rumah..solo hadir kak,moga rejeki kak willy biar bikin dapur rumah solo hadir kak
88,2020,Kak   tolong kk plist..,kak tolong plist
89,2020,Bang Willy 2018  ,bang willy
90,2020,Bismillah ka moga DM aku di buka  ,bismillah kak moga dm buka
91,2020,Ka Wily mau main mesin capit dong,kak wily main mesin capit
92,2020,Baik banget ka Wil...🙏,banget kak wil lipat tangan
93,2020,Bismillahirrahmanirrahim iPhone bg Will🤲😊,bismillahirrahmanirrahim iphone bang wil tangan angkat dan rapat sama wajah senyum dengan mata bahagia
94,2020,Wkwkwk lucu😂,wkwkwk lucu wajah gembira urai air mata
95,2020,❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️ ,hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah hati merah
96,2020,Kak aku mau give away nya apa aja .buat ibuku dan anakku,kak give away nya buat ibu anak
97,2020, : pingin ikutan capit drumah kakak   SALIM   sekalian bawa bayi aq...lagi butuh dana ni ka buat byr kosan,pengin ikut capit drumah kakak salim bawa bayi butuh dana nih kak byr kosan
98,2020,Semoga Koh"   Baca DM Aku Walaupun Sebentar Aja GBU,moga koh baca dm sebentar gbu
99,2020,Ko pengen ikut main mesin capit dong buat modal kerja 🙏,pengin main mesin capit modal kerja lipat tangan
100,2020,Ka Willi baca DM saya 🙏😢 ,kak willi baca dm lipat tangan wajah menang
101,2020,"Abgboleh ga sih berharap di panggi ke rumah abgbuat main capit manusia.biar bisa beliin hadia untuk anak,dri bayi blom perna di belikin mainan bang karna ekonomi yg sulit 🙏🙏🙏sukses trus buat abg nya",abgboleh sih harap panggi rumah abgbuat main capit manusiabiar belikan hadia anak bayi bikin main bang ekonomi sulit lipat tangan lipat tangan lipat tangan sukses abang nya
102,2020,ka willie baca dm aku 😭🙏🏻,kak willie baca dm wajah menang keras lipat tangan warna kulit cerah
103,2020,Sukses terus orang baik😊,sukses orang wajah senyum dengan mata bahagia
104,2020,kak willi baca dm ku please😢,kak willi baca dm ku please wajah menang
105,2020,bismillahirrahmanirrahim THR 🤲😇,bismillahirrahmanirrahim thr tangan angkat dan rapat sama wajah malaikat
106,2020,Be yourself what's best for yourself,be yourself whatsi best for yourself
107,2020,Semoga selalu diberi keberkahan orang baik  ,moga berkah orang
108,2020,Ganteng banget sehat selAlu kak,ganteng banget sehat kak
109,2020,KAK WILIE MAU IPHONE 13 MINI 🙏🖤🔥,kak wilie iphone mini lipat tangan hati hitam api
110,2020,Semoga dibls dm aku 😭🙏,moga balas dm wajah menang keras lipat tangan
111,2020,Masyaallah 🤗🤗🤗,masyaallah wajah peluk wajah peluk wajah peluk
112,2020,Halo kak    balas dm aku dong kak berharap sklii di baca ama kakak🥺🙏,halo kak balas dm kak harap baca kakak wajah memelas lipat tangan
113,2020,Smoga dm di baca  ,moga dm baca
114,2020,Ko baca DM ku dong pliss,baca dm ku plis
115,2020,Kak ajakin aku borong dong  ,kak ajak borong
116,2020,Baca dm aku Dong kak😢,baca dm kak wajah menang
117,2020,Bissmillah iPhone 13,bissmillah iphone
118,2020,Hallo kak Willie.. Tolong baca dm aku kak 🥺🙏,halo kak willie tolong baca dm kak wajah memelas lipat tangan
119,2020,mirip genjieh Abang   😂😂😂😂😂,genjieh abang wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
120,2020,"Bang aku comen postingan yang trakhir , biar di baca 🤗 , bang hp ku rusak , ini pinjem temen ng pengen ig an, barang kali dikasih hp abang yang jadul jadul atau yang gk bagus juga gpp asal bisa buat wa an bisa buat ngabari keluarga bang  ",bang komen postingan trakhir biar baca wajah peluk bang hp ku rusak pinjem teman ng pengin ig an barang kali kasih hp abang jadul jadul bagus gp wa an ngabari keluarga bang
121,2020,Liattin dm ko😢,liattin dm wajah menang
122,2020,Ya ampun gantengnya semoga kedepannya jauh lebih sukses lagi y k semoga kk rezekinya lancar terus semangat jangan Dengerin kata netizen yang tidak bener y ka 🥰💕,ya ampun ganteng moga depan sukses ya moga rezeki lancar semangat dengar netizen ya kak wajah senyum dengan hati dua hati
123,2020,   ka balas dm ku dong 😢,kak balas dm ku wajah menang
124,2020,Kak baca DM aku pliss🙏🥺,kak baca dm plis lipat tangan wajah memelas
125,2020,BISMILLAH DIBORONG KA WILIEE,bismillah borong kak wilie
126,2020,bismillah semoga Willy baca komen saya dari bawah dengan niat saya download ig buat mengikuti Willy,bismillah moga willy baca komen niat download ig ikut willy
127,2020,Hay kak,hai kak
128,2020,Babi terbang imut😂😂😂,babi terbang imut wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
129,2020,  follow🥺🙏,follow wajah memelas lipat tangan
130,2020,Bagi bagi hadiah nya,hadiah nya
131,2020,Ka baca DM aku ka sekali aja ka 😢 biar aku seneng gitu di sapa sama Kaka  ,kak baca dm kak kak wajah menang biar senang sapa kakak
132,2020,  kemeja 🔥,kemeja api
133,2020,Kak baca DM 🙏🥺😭,kak baca dm lipat tangan wajah memelas wajah menang keras
134,2020,kemeja aja😂,kemeja wajah gembira urai air mata
135,2020,Bingung mau pilih mana 22nya cogan😂👍,bingung pilih duaduanya cowok ganteng wajah gembira urai air mata jempol ke atas
136,2020,  Baca dm aku kak😢😢😢,baca dm kak wajah menang wajah menang wajah menang
137,2020,Halo kak willu ❤️❤️ knp mirip oppa2 sii😂,halo kak willu hati merah hati merah oppa sih wajah gembira urai air mata
138,2020,Kaka baca dm aku,kakak baca dm
139,2020,Daun pohonnya deh😂😂,daun pohon deh wajah gembira urai air mata wajah gembira urai air mata
140,2020,Fixx milih ka willie🥰,fix pilih kak willie wajah senyum dengan hati
141,2020,Mirip sama yg drama Vicenzo. Yg musuhnya 😭 kamu cakep luar dalem ka😭😭😭,drama vicenzo musuh wajah menang keras cakep dalem kak wajah menang keras wajah menang keras wajah menang keras
142,2020,dua-dua nya sama² ku suka tapi aku bingung harus pilih yg mana😂,duadua nya sama ku suka bingung pilih wajah gembira urai air mata
143,2020,Opa opa BTS 👏😮,opa opa bts tepuk tangan wajah dengan mulut buka
144,2020,Pengen sepatu ny kaka   😭,pengin sepatu nya kakak wajah menang keras
145,2020,Dua dua ny ganteng,nya ganteng
146,2020,willll read dm xixi😂,wil read dm xixi wajah gembira urai air mata
147,2020,Mari kita trendingkaannnnnnnnnnnn,mari trendingkaan
148,2020,Yg kemeja aje deh wkwk😍,kemeja deh wkwk wajah senyum lebar mata hati
149,2020,Aku mau hoodiee buat lebaran aku tinggal sama nenek,hoodie lebaran tinggal nenek
150,2020,Kemejaaa dong ka,kemeja kak
151,2020,lihatt akuu yu  ,lihat yuk
152,2020,"Untuk dirumu 50%, Untuk dirinya 50% lengkap sudah 100% cintaa😂",dirumu lengkap cinta wajah gembira urai air mata
153,2020,"  Ka willie dermawan sekali emgnya kerjanya apa ka,tipsnya dong👏👏👏,bisa kali ka kasih aku kado ulang thun,aku gapernah ad yg kasih kado selama hidup😢😢",kak willie dermawan emgnya kerja kak tipsnya tepuk tangan tepuk tangan tepuk tangan kali kak kasih kado ulang kasih kado hidup wajah menang wajah menang
154,2020,Hai kak,hai kak
155,2020,Ka wily keren banget lov lov bismillah thr online nya ka wily 😢,kak wily keren banget lov lov bismillah thr online nya kak wily wajah menang
