index,Tahun,Comments,preprocessed
594,2020,Mantap ka sukses selalu,mantap kak sukses
595,2020,postingan ka willie 🔥,postingan kak willie api
596,2020,Bismilah udh di akhir bg wilyy mudah" an dapet rezeki dari bg willi,bismilah bang wily mudah an rezeki bang willi
597,2020,.bismilah mas willie selalu sehat amin,bismilah mas willie sehat amin
598,2020,"Gara² liat postingan mami   katanya bang Willi duitnya ga abis²,Dlm wkt kurang lebih 30 mnt boom like nyampe k titik terakhir postingan bang   ..semoga sll berkah,lancar rejeki & usahanya,bahagia dunia akhirat ya bang🤲🏻",gara lihat postingan mami bang willi duit abis boom like titik postingan bang moga sl berkah lancar rejeki usaha bahagia dunia akhirat ya bang tangan angkat dan rapat sama warna kulit cerah
599,2020,Akhirmya Udh Sampe Di Foto Dan like terakhir😂😍 Ditunggu Main Ke Kota Probolinggo Jawa Timur Kak   Kepingin Ketemu Langsung Dan Fotbar🤭,akhirmya foto like wajah gembira urai air mata wajah senyum lebar mata hati tunggu main kota probolinggo jawa timur kak pengin ketemu langsung foto bareng wajah dengan tangan tutup mulut
600,2020,Ka Wili saya minta hempon dong  aku udah polow nih bismilah hapenya,kak wili hempon polow nih bismilah hapenya
601,2020,Satu postingan 1 komen,postingan komen
602,2020,  gmna si rasanya di kasih ip gratis sama bg wili🫶🏻,sih kasih ip gratis bang wili warna kulit cerah
603,2020,kak willie cek jawaban aku di story hari ini,kak willie cek story
604,2020,"Ka maaf , minta tolong atuh kalo emang bisa nolongin kalo bisa mah , permasalahan parah bgt ini 🥹cuma bisa pake uang di urus nya , bukan utang juga , malah ga punya utang, cuma ribet bgt.",kak maaf tolong atuh kalo tolong kalo mah masalah parah banget cuma pakai uang urus nya utang utang ribet banget
605,2020,Pengen iPhone yak kak mohon di bantu 🙏🙏🙏🙏🙏🙏🙏🙏,pengin iphone ya kak mohon bantu lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan
606,2020,Kak aku dh paket lengkap udah follow akun kak Wil,kak dah paket lengkap follow akun kak wil
607,2020,"Kak wil, tolong bantu saya kak, saya udah follow akun kak wil semua nya, batu lunasin utang saya kak, saya pengen bisa nabung buat biaya nikah, saya mei mau nikah, tapi sekarang saya belum bisa nabung karena harus bayar hutang, jangankan buat nabung kak, buat bekal sehari² juga kurang 😔😔😔, saya gak mau ngebebanin mamah saya, bapak saya sudah meninggal, tolong bantu saya kak 🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏",kak wil tolong bantu kak follow akun kak wil nya batu lunasin utang kak pengin nabung biaya nikah mei nikah nabung bayar hutang nabung kak bekal hari wajah renung wajah renung wajah renung ngebebanin mamah tinggal tolong bantu kak lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan
608,2020,"Bismillah,mudah mudahan ka willie tau dan di sini jg harapan terakhir masalah  hutang istriku ke bank emok bisa selesai,sengaja komen  di sini dan kasih tap semua postingan biar ka willie tau🙏support dan doa selalu menyertai orang baik❤️ka willie😭",bismillah mudah mudah kak willie tau harap hutang istri bank emok selesai sengaja komen kasih tap postingan biar kak willie tau lipat tangan support doa serta orang hati merah kak willie wajah menang keras
609,2020,Bismillah Iphone untuk Istri hehe. Kak willie saran dong adain challenge yang boom like dari awal postingan IG kak willie. Semoga dapet iphonenya hbuat bini kepengen banget iphone dia hehe,bismillah iphone istri hehe kak willie saran ada challenge boom like postingan ig kak willie moga iphonenya hbuat bini ken banget iphone hehe
610,2020,Finish spam like bang  ,finish spam like bang
611,2020,AKHIRNYA SELESAI LIKE SAMPE BAWAH HEHEH😂 SEMOGA DAPET 1 PERMINTAAN AMINN,selesai like heheh wajah gembira urai air mata moga minta amin
612,2020,Bismillah butuh 500 kak buat modal jualan ples berharap kak willi baca  ,bismillah butuh kak modal jual ples harap kak willi baca
613,2020,  beliin RX king dong bang🙌,belikan rx king bang angkat tangan
614,2020,Beliin RX king dong bang heheheh,belikan rx king bang heheheh
615,2020,Semoga bisa kaya ka Willie bisa terus berbagi❤️❤️ lancar rezeki,moga kayak kak willie bagi hati merah hati merah lancar rezeki
616,2020,"UDAH AKU LIKE SEMUA POSTINGANYA KA,BIAMILLAH IPHONE!",like postinganya kak biamillah iphone
617,2020,Bismillah 2jt buat bayar kontrakan 2bln ya bang  ,bismillah jt bayar kontra bln ya bang
618,2020,semoa dm saya dibaca   🙏,moa dm baca lipat tangan
619,2020,Semoga dm saya dibaca 🙏,moga dm baca lipat tangan
620,2020,Will iphone 1dus kmrin udah di bagiin belum. Sya belum dapet nih will 😅,wil iphone dus kemarin bagi nih wil wajah senyum lebar dan keringat
621,2020,Berharap ipbone.. 👏👏,harap ipbone tepuk tangan tepuk tangan
622,2020,Bismillahirrahmanirrahim dapet iPhone dari bang willie,bismillahirrahmanirrahim iphone bang willie
623,2020,"Bang   aku cuma mau ketemu bg    aku lagi 🤰 bang, dan aku cuma mau di promosikan produk aku bang TERASI BELITUNG 🙏🙏🙏🙏🙏🙏 SEMOGA COMENT SAYA DI LIHAT  ",bang ketemu bang wanita hamil bang promosi produk bang terasi belitung lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan moga komentar lihat
624,2020,Bang Willie Salim❤️,bang willie salim hati merah
625,2020,waduu mw dong dikasih hp sama kak willie😢😍,wadu kasih hp kak willie wajah menang wajah senyum lebar mata hati
626,2020,   kak  will bales dongggg 😢,kak wil balas wajah menang
627,2020,"  pegel bngt ini tangan udah scroll sampai bawah, iPhone nya sabi kali lah ya",gel banget tangan scrol iphone nya sabi kali ya
628,2020,"Udah scrol paling bawah sampai tangan aku lemas😢,masak aku nggak dapat ipon kak😊☺️",scrol tangan lemas wajah menang masak ipon kak wajah senyum dengan mata bahagia wajah senyum
629,2020,"  aku penget banget headset bluetooth, beliin dong :v",penget banget headset bluetooth belikan v
630,2020,"Semoga tambah sukses, sehat,bahagia sekeluarga anda orang baik ❤️",moga sukses sehat bahagia keluarga orang hati merah
631,2020,Sudah aku laki awmua ka    cuma minta kak wily liat DM saya,laki awmua kak kak wily lihat dm
632,2020,Bismillah iphone untuk kerja kak    sudah like sampai postingan paling bawah. Kepekanbaru dong kak   🙌,bismillah iphone kerja kak like postingan kepekanbaru kak angkat tangan
633,2020,DONE LIKE SEMUA BISMILLAH DPAT MANDI KOLAM BOLA,done like bismillah dpat mandi kolam bola
634,2020,  Plis kak bantuanya😌🙏🙏🙏,plis kak bantuanya wajah lega lipat tangan lipat tangan lipat tangan
635,2020,  Aku sudah like ujung sampai akarnya kak wili😌😌😌,like ujung akar kak wili wajah lega wajah lega wajah lega
636,2020,DONE like ✔️ka  ,done like tanda centang tebal kak
637,2020,Mau bmw Seri m5,bmw seri m
638,2020,Udah like semuanya dong hehe  ,like hehe
639,2020,Semoga satu permintaaanku terkabulkan orgbaik🤲  ,moga minta kabul orgbaik tangan angkat dan rapat sama
640,2020,Semoga tercapai hayalanku😍,moga capai khayal wajah senyum lebar mata hati
641,2020,Semoga dapat iPhone😊😊😊,moga iphone wajah senyum dengan mata bahagia wajah senyum dengan mata bahagia wajah senyum dengan mata bahagia
642,2020,Bismillah   pengen punya iPhone semoga Allah SWT permudah dan meringankan kak willie salim Untuk memberikan nya kepada kami aamiin aamiin aamiin ya rabbal aalaamiin🤲,bismillah pengin iphone moga allah swt mudah ringan kak willie salim nya amin amin amin ya rabbal aalaamiin tangan angkat dan rapat sama
643,2020,Kak pengen kayak teman yg punya hp dan bisa main sama teman teman  semoga dapat  dari kak Willi amin🙏🙏🙏🙏🙏,kak pengin kayak teman hp main teman teman moga kak willi amin lipat tangan lipat tangan lipat tangan lipat tangan lipat tangan
644,2020,Bismillah yaa allah pengen dapet Iphone dari kak willi pengen banget juga ketemu orangnya tapi posisi aku kerja aaisten rumah tangga gabisa keluar hihi senangat buat ka willi ya fimudhkn rezeki nya pnjngkn umurnya aminnn selalu berbagi sesama manusia yang tidak mampu aminn sehat selalu ka Willi kalo allah ijinkan mungkin kita bisa dipertemukann hihi aku di bekasi ka lagi kerja asli aku dari lampung aku ngerantau hihi salam kenal ya ka willi🙏🙏😊 maaf ya ka kalau aku sudah lancang nge bomlike ig kaka dan komen hihi maaf seribu maaf ya kaa ini aku komen di status kaka karna aku sudah nge like sampe bawah sini hihi✌️😁😁🙏,bismillah ya allah pengin iphone kak willi pengin banget ketemu orang posisi kerja aaisten rumah tangga hihi semangat kak willi ya fimudhkn rezeki nya pnjngkn umur amin bagi manusia amin sehat kak willi kalo allah ijinkan temu hihi bekas kak kerja asli lampung ngerantau hihi salam kenal ya kak willi lipat tangan lipat tangan wajah senyum dengan mata bahagia maaf ya kak lancang nge bomlike ig kakak komen hihi maaf ribu maaf ya kak komen status kakak nge like hihi isyarat menang wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia lipat tangan
645,2020,Lucu bngt yg ini,lucu banget
646,2020,kak    aku udh boom like foto kaka plisss kak aku mau minta satu permintaan 😢aku mau 1 iphonen pliss,kak boom like foto kakak plis kak minta wajah menang iphonen plis
647,2020,Huft akhir nya sampe bawah maaf aku gabut  boom like nya😂,huft nya maaf gabut boom like nya wajah gembira urai air mata
648,2020,Maaf saya bom like dari atas sampai akhir bang wili semoga DM saya di baca 🤲🏻,maaf bom like bang wili moga dm baca tangan angkat dan rapat sama warna kulit cerah
649,2020,Ngak sadar sudah sampai di post terakhir aja😢 semangat terus Kak Willie,sadar post wajah menang semangat kak willie
650,2020,"Full Boom like buat ka willy,🥳 fans berat sama ka willy😢",ful boom like kak willy wajah pesta fan berat kak willy wajah menang
651,2020,Semangat yah kak selalu berjuang seperti kak  ,semangat ya kak juang kak
652,2020,hp saya dulu realme c2 . sekarang infinix . saya dulu dan kemarin gak punya aplikasi Ig dan tik tok karena boros paket data sama hp lemot .. saya cuma pake FB dan wa . berharap di FB mengikuti Willy bisa dapat hadiah . ternyata belom bisa dapat di FB .. sekarang saya download ig supaya bisa mengikuti Willy dan bisa mendapat hadiah dari Willy,hp realme c infinix kemarin aplikasi ig tik tok boros paket data hp lot pakai fb wa harap fb ikut willy hadiah fb download ig ikut willy hadiah willy
653,2020,Tumben imut😍😍😍,tumben imut wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati
654,2020,Lucu skali kak willy meluk boneka...kpan saya di ajak main mesin capit..solo hadir kak,lucu kak willy peluk boneka ajak main mesin capit solo hadir kak
655,2020,Kaka bales DM aku ka 😢 plis ka  ,kakak balas dm kak wajah menang plis kak
656,2020,kapan peluk pacar wil 😂,peluk pacar wil wajah gembira urai air mata
657,2020,  itu beruang madu atau beruang kutub ?,beruang madu beruang kutub
658,2020,Bismillah DM ku di bls ka willie🙏😇,bismillah dm ku balas kak willie lipat tangan wajah malaikat
659,2020,beda bngt sm thun 2022😮,beda banget wajah dengan mulut buka
660,2020,Gantengg banget kak,ganteng banget kak
661,2020,Halo kak willy,halo kak willy
662,2020,Pengen bonekanya😭,pengin boneka wajah menang keras
663,2020,Kali boneka nya mau di bagi😁😁,kali boneka nya wajah gembira dengan mata bahagia wajah gembira dengan mata bahagia
664,2020,Bonekanya aww🔥...,boneka aw api
665,2020,Halo kak willy. I miss you ❤️❤️❤️,halo kak willy i mis you hati merah hati merah hati merah
666,2020,Kok makin kebawah asa beda sm yg diatas rambut lurus normal sm keriting tpi manisan yg skrg gemesin mukanya kyk anak kecil,bawah asa beda atas rambut lurus normal keriting manis gemas muka kayak anak
667,2020,BCA DM sy kk,baca dm
668,2020,Aw cute😍,aw cute wajah senyum lebar mata hati
669,2020,Sama imut kaya boneka,imut kayak boneka
670,2020,Bismilah boneka cimi,bismilah boneka cimi
671,2020,Ganteng banget woyyy ❤️,ganteng banget woy hati merah
672,2020,Follback ka@ ,follback kak
673,2020,😍 Gemeeeyy,wajah senyum lebar mata hati gemeey
674,2020,pantes ga di baca yg DM beribu org:(,baca dm ibu orang
675,2020,   bales dm dong kak😢,balas dm kak wajah menang
676,2020,bales dm dong ko😢,balas dm wajah menang
677,2020,Cek DM aku❤️❤️❤️,cek dm hati merah hati merah hati merah
678,2020,Ko wi baca DM akuuu😢,wi baca dm wajah menang
679,2020,sehat selaluuu kak,sehat kak
680,2020,Keren kak wilie bismilah iPhone,keren kak wilie bismilah iphone
681,2020,Kok gumush ya,gumush ya
682,2020,Boneka nya gemoy kaya aku banget 😂,boneka nya gemoy kayak banget wajah gembira urai air mata
683,2020,Bismillah Iphone😇,bismillah iphone wajah malaikat
684,2020,Bonekanya becar banget jadi pingin deh 😍😍,boneka becar banget pengin deh wajah senyum lebar mata hati wajah senyum lebar mata hati
685,2020,lucu bgt ko meluk teddy bear🥺,lucu banget peluk teddy bear wajah memelas
686,2020,Semoga ya,moga ya
687,2020,"BONEKA NYA LUCU ,, APALAGI ORANG NYA ..",boneka nya lucu orang nya
688,2020,Gemoy bonekanya,gemoy boneka
689,2020,BISMILLAH BONEKA NYA BUAT SAYA😍😂 AH HALU,bismillah boneka nya wajah senyum lebar mata hati wajah gembira urai air mata ah halu
690,2020,Bismillah bonekanya dikasih😮,bismillah boneka kasih wajah dengan mulut buka
691,2020,Maybe besok aku yang berada di posisi boneka itu 😭🐣,maybe besok posisi boneka wajah menang keras itik tetas
692,2020,Gemuyyy by ih🥺,gemuy by ih wajah memelas
693,2020,Tedy bearnya ngeliatin minumanmu koo😂,tedy bearnya lihat minum wajah gembira urai air mata
694,2020,Bg Willie gnteng jadi pengen bonekanya,bang willie gnteng pengin boneka
695,2020,Kakak suka membantu aku seneng bismilah di balas,kakak suka bantu senang bismilah balas
696,2020,Kak bismmilah boneka  BT21  sama hoodie BT21 celana panjang bismillah,kak bismmilah boneka bt hoodie bt celana bismillah
697,2020,Boneka nya buat aku aja 😍,boneka nya wajah senyum lebar mata hati
698,2020,nnti mau pake captionnya yaa,pakai captionnya ya
699,2020,Follbackk dunn dah ku like+komen semua ko:v,follback dun deh ku likekomen v
700,2020,Kok gans 😂,ganteng wajah gembira urai air mata
701,2020,Ganteng bang wili serius😍,ganteng bang wili serius wajah senyum lebar mata hati
702,2020,  kembar an mu di sini ko😭,kembar an mu wajah menang keras
703,2020,   kok mirip Wei matanya,wei mata
704,2020,"Sumpah kalo pake masker, mirip Igleon 🤣",sumpah kalo pakai masker igleon tertawa terbahakbahak
705,2020,Kakk nama Aslnya siapa??,kak nama aslnya
706,2020,Imut ni wkw,imut nih wkw
707,2020,Unyu 😍😍😍,unyu wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati
708,2020,"Waaaah will ini.imut bgt deh, klo.ini sih 9 ini mah imut bgt. 🤣",waah wil iniimut banget deh kaloini sih mah imut banget tertawa terbahakbahak
709,2020,imut bgt hyung  tante lu juga blg imut kn wkwk,imut banget hyung tante lu bilang imut wkwk
710,2020,"Jadi ini foto yg dibilang tantenya imut itu? 🤣🤣
Iya deh imut 10 buat lee min ho",foto bilang tante imut tertawa terbahakbahak tertawa terbahakbahak iya deh imut min ho
711,2020,"katanya tantenya imut, kata gue astaga makhluk apa ini yang engkau ciptakan tuhan ganteng bgt xixi",tante imut gue astaga makhluk engkau cipta tuhan ganteng banget xixi
712,2020,Gemesh bgt😍,gemesh banget wajah senyum lebar mata hati
713,2020,Pov:dtng dari tiktok,pov dtng tiktok
714,2020,fyp kok gannn🔥,fyp gan api
715,2020,  yes:( mau ketemuannn,yes ketemu
716,2020,  liat aja bro 🤠,lihat bro wajah koboi
717,2020,masuk fyp gan 😂,masuk fyp gan wajah gembira urai air mata
718,2020,  makasih sudah diingatkann,terima kasih
719,2020,  pagi sekali bangunnyaa,pagi bangun
720,2020,"ingat psbb, terapkan 3M.
Menjaga jarak!
Memakai masker!!
Mencuci tangan dengan sabun!!!",psb terap m jaga jarak pakai masker cuci tangan sabun
721,2020,  onyongg🤡🤡,onyong badut badut
722,2020,  willie salim di youtube,willie salim youtube
723,2020,  hai cici UI,hai cici ui
724,2020,willie opparr🤩,willie oppar wajah dengan mata bentuk bintang
725,2020,like comment subscribe,like comment subscribe
726,2020,Bonekanya lucu 🥺,boneka lucu wajah memelas
727,2020,bismillah semoga,bismillah moga
728,2020,DULU WIILI KECE,wiili kece
729,2020,Woi....woi...woi...gak di toilet juga kali.😮😮,woi woi woi toilet kali wajah dengan mulut buka wajah dengan mulut buka
730,2020,Ganteng banget sumpah,ganteng banget sumpah
731,2020,Sedih tiap DM komen ngga pernah di respon sama sekali padahal aku udah follow Kaka 😢 pengen nangis,sedih dm komen respon follow kakak wajah menang pengin menang
732,2020,Pengen sklii punya IPONE  ,pengin ipone
733,2020,Kek oppa2,kayak oppa
734,2020,  hp idaman aku tpi maklum aq gak bsa beli😢😢,hp idam maklum beli wajah menang wajah menang
735,2020,Unik juga toiletnya,unik toilet
736,2020,Kayak oppa-oppa koreaa😍,kayak oppaoppa korea wajah senyum lebar mata hati
737,2020,willie selalu keren,willie keren
738,2020,"semangat terus my idol,sukses selalu. smoga skill berbagi mu dn rejeki mu,turun kesaya disaat nanti🙏",semangat my idol sukses moga skil bagi mu rejeki mu turun saya saat lipat tangan
739,2020,Ganteng sih tapi fotonya jangan di tempat kencing juga kali,ganteng sih foto kencing kali
740,2020,Bang topkan aku dong dang lima ratus diyamon akun aku masih bot bang ini di 3233203385,bang top dang ratus diyamon akun bot bang
741,2020,Koko   iseng banget foto di Toilet 😂😂 Bismillah Ya Allah...Mudah2an Aku dapat THR dari Koko Willie..Aamiin YRA 🤲🙏,koko iseng banget foto toilet wajah gembira urai air mata wajah gembira urai air mata bismillah ya allah mudahmudahan thr koko willie amin yra tangan angkat dan rapat sama lipat tangan
742,2020,Halo kak willy.. apaa kabarrr❤️,halo kak willy kabar hati merah
743,2020,Hape amin,hape amin
744,2020,Kak plis buka dm 😢,kak plis buka dm wajah menang
745,2020,Ka aku mau i phone 11 warna ungu plisss kak  ,kak i phone warna ungu plis kak
746,2020,sekilas mirip oppa korea   😂😂😂,kilas oppa korea wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
747,2020,   tolong baca DM aku 😔🙏,tolong baca dm wajah renung lipat tangan
748,2020,Ganteng banget parah ❤️,ganteng banget parah hati merah
749,2020,  gw kaga pernah,gue kagak
750,2020,tim yg gaperna di notice:(,tim gaperna notice
751,2020,gnteng bgt ini,gnteng banget
752,2020,Cek DM aku dong,cek dm
753,2020,Haiii kak,hai kak
754,2020,Bagus bangt😍,bagus banget wajah senyum lebar mata hati
755,2020,Soal ny helm hilang d parkiran,nya helm hilang parkir
756,2020,Woe parah ganteng bangett😍😍,woe parah ganteng banget wajah senyum lebar mata hati wajah senyum lebar mata hati
757,2020,Cek dm kk,cek dm
758,2020,"Bang willie ganteng bnget, bismillah iphone",bang willie ganteng banget bismillah iphone
759,2020,Hahahaha yg motoin siapa ituuu,hahahaha motoin
760,2020,Eboi opo,eboi opo
761,2020,Ih eboy bangedss🔥,ih eboy bangeds api
762,2020,WOIIII GANTENG BETTTT😍😍☺️☺️☺️😘😘😘,woi ganteng banget wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum wajah senyum wajah senyum wajah beri cium jauh wajah beri cium jauh wajah beri cium jauh
763,2020,WOIII KOK YG DI FOTO CAKEP SEMUA🔥,woi foto cakep api
764,2020,gantengggg bgttt,ganteng banget
765,2020,Suka bet sm softboy modelan gni😮,suka banget softboy model wajah dengan mulut buka
766,2020,Swag 👍🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥,swag jempol ke atas api api api api api api api api api api
767,2020,Jodoh orang mah ❤️❤️ ganteng,jodoh orang mah hati merah hati merah ganteng
768,2020,Bntr bntr itu ngapa cewe nya di toilet cowo,bentar bentar ngapa cewek nya toilet cowok
769,2020,Tante: ini mah jelek masa foto di kamar mandi.  Ngakak ga sih kalian 😂,tante mah jelek foto kamar mandi akak sih wajah gembira urai air mata
770,2020,Oh ini yang dapat nilai 5 dari tante gara gara foto di toilet😂😂😂,oh nilai tante gara gara foto toilet wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata
771,2020,Siapa tau dpt THR komen di post ini🤣😂,tau thr komen post tertawa terbahakbahak wajah gembira urai air mata
772,2020,Berarti fav colorful ya,favorit colorful ya
773,2020,Apaan tuh model tanpa kepala😢 makin kebelakang makin parah,tuh model kepala wajah menang belakang parah
774,2020,Mantap kak,mantap kak
775,2020,Love u ka Wil...❤️,love lu kak wil hati merah
776,2020,"Kemeja nya bagus banget kak 😍,  ",kemeja nya bagus banget kak wajah senyum lebar mata hati
777,2020,Ka willie tolong cek DM kuh dong🙏😇,kak willie tolong cek dm kuh lipat tangan wajah malaikat
778,2020,"Kak will,tolong banget buka dm saya.",kak wil tolong banget buka dm
779,2020,Bissmillah iPhone ya rabb,bissmillah iphone ya rab
780,2020,Foto ke 8...Anak2 senang difoto 😊 Bismillah Ya Allah...Mudah2an Aku dapat THR dari Koko Willie..Aamiin YRA 🤲🙏,foto anakanak senang foto wajah senyum dengan mata bahagia bismillah ya allah mudahmudahan thr koko willie amin yra tangan angkat dan rapat sama lipat tangan
781,2020,Kak baca Dm Riska...😭😭😭🙏,kak baca dm riska wajah menang keras wajah menang keras wajah menang keras lipat tangan
782,2020,Haloo kak willy jangan lupa selalu bersyukurr❤️😍,halo kak willy lupa syukur hati merah wajah senyum lebar mata hati
783,2020,Bismillah dibaca ya allah sm kk baik ini. Dn smoga dibles kebaikan nya😍,bismillah baca ya allah moga dibles baik nya wajah senyum lebar mata hati
784,2020,Kenapa gk ad muka ny sih?,muka nya sih
785,2020,Selera fashionmu kece bgeet bgt wil😍🔥🔥🔥,selera fashionmu kece bgeet banget wil wajah senyum lebar mata hati api api api
786,2020,BACA DM aku yo kak🙈🤸‍♀️,baca dm ya kak tidak lihat wanita laku gera roda
787,2020,Bismillah semoga dapat amin,bismillah moga amin
788,2020,mau shopee pay😢,shope pay wajah menang
789,2020,nunggu emg ga enk:(,tunggu enak
790,2020,Bismillahirrahmanirrahim semoga dm aku di baca aminn,bismillahirrahmanirrahim moga dm baca amin
791,2020,Bismillah dikasih😢,bismillah kasih wajah menang
792,2020,suka pake kemeja nih ka willie,suka pakai kemeja nih kak willie
793,2020,"Pengen bgt ka richeese soalnya gprnh mkn, jdi semoga di go food in buat buka puasa😭😭",pengin banget kak richeese gprnh moga go food buka puasa wajah menang keras wajah menang keras
794,2020,Damagenyaaa uhh,damagenya uh
795,2020,Hi kak,hi kak
796,2020,Meresah kan 😍😍😍,resah wajah senyum lebar mata hati wajah senyum lebar mata hati wajah senyum lebar mata hati
797,2020,Duhh ga nahan sumpaaa,duh tahan sumpa
798,2020,Eh tadi sorry kak ngomong asu,eh sorry kak omong asu
799,2020,Followback Abang softboii,followback abang softboi
800,2020,Uda Bun darimana😢,bun darimana wajah menang
801,2020,Oi followback,oi followback
802,2020,  haa napa ce,ha ce
803,2020,will.......untung sodara :),wil untung sodara
804,2020,  dak tau woo aahah,indak tau wo aahah
805,2020,ape wo ni wo,wo nih wo
806,2020,Like and comment guys,like and comment guys
807,2020,  iy dong wkwk,iya wkwk
808,2020,  emg lu pake?,lu pakai
809,2020,  ikutan gw ama jason,ikut gue jason
810,2020,  😍,wajah senyum lebar mata hati
811,2020,  ini lu ya wkkww,lu ya wkkw
812,2020,  ikutan sapa ful,ikut sapa ful
813,2020,  okay ddy whatever u tell me to do 🤤🤤😖,okay ddy whatever lu tel me ngiler ngiler wajah stres
814,2020,  stop using that sad emojis,stop using that sad emojis
815,2020,  for my d not to be this hard 😩😩,for my not be this hard wajah terlalu lelah wajah terlalu lelah
816,2020,Ikutan cinicin,ikut cinicin
817,2020,  tell me what u wish kid,tel me what lu wish kid
818,2020,something is rising and its not the price of minecraft 😩,something is rising and its not the price of minecraft wajah terlalu lelah
819,2020, .tan foto trakirr,tan foto trakir
820,2020,  seeing you dead,seeing you dead
821,2020,  my emotions are blue,my emotions are blue
822,2020,  headless not brainless,headles not brainles
823,2020,  vIolets are blue,violets are blue
824,2020,  ROSES ARE RED,roses are red
825,2020,  gimme poem,gim me poem
826,2020, .k 🔥🤙,ke api panggil saya
827,2020,  2 memes dri jasonn,mes jason
828,2020, .tann napa trakir,tan trakir
829,2020, .tann summer ce,tan summer ce
830,2020,  thanku🔥,thanku api
831,2020, .vieren di comment unnue,vieren comment unnue
832,2020, .vieren 🤙🤙,vieren panggil saya panggil saya
833,2020,wOi iNsPo,woi inspo
834,2020,another headless pics 🤩🤩🔥,another headles pics wajah dengan mata bentuk bintang wajah dengan mata bentuk bintang api
835,2020,saya Robby s dari Magelang saya berharap di FB mengikuti dapat hadiah . ternyata sampai sekarang belom dapat hadiah . saya niatkan download ig untuk mengikuti dan saya niatkan melihat postingan Willy dari 0 supaya bisa dapat hadiah dari willy,robby si magelang harap fb ikut hadiah hadiah niat download ig ikut niat postingan willy hadiah willy
836,2020,"KAK WILL,BAGI2 DUIT DONG DIKIT AJA JANGAN BANYAK2",kak wil bagibagi duit dikit banyakbanyak
837,2020,   berani borong mi di indonaer nggak,berani borong mi indonaer
838,2020,Kembali ke jaman anak2 lg😂👏👏👏jangan lupa dimasukin mesin kasir semua yg ada di keranjang.sekalian orangnya😂😂,jaman anakanak wajah gembira urai air mata tepuk tangan tepuk tangan tepuk tangan lupa masuk mesin kasir keranjangsekalian orang wajah gembira urai air mata wajah gembira urai air mata
839,2020,Cek DM saya dong  kak plis  ,cek dm kak plis
840,2020,Semoga aku di ajak borong😁,moga ajak borong wajah gembira dengan mata bahagia
841,2020,  semangat kak ✊,semangat kak tangan kepal ke atas
842,2020,Semoga lancar rizkinya ya bang allah tak lupa janjinya,moga lancar rizkinya ya bang allah lupa janji
843,2020,Bismilah Indomie satu kerdus Amin,bismilah indomie kerdus amin
844,2020,Kk kirimin indomie dong ak kalau makan indomie gk pernah puas kk soalnya 1 bagi 4 orang kk pliss bismillah 🙏🏻,kirim indomie makan indomie puas orang plis bismillah lipat tangan warna kulit cerah
845,2020,😂😂😂 Koko   iseeng banget duduk di Keranjang 😅😅😅 Bismillah Ya Allah...Mudah2an Aku dapat THR dari Koko Willie..Aamiin YRA 🤲🙏,wajah gembira urai air mata wajah gembira urai air mata wajah gembira urai air mata koko iseeng banget duduk keranjang wajah senyum lebar dan keringat wajah senyum lebar dan keringat wajah senyum lebar dan keringat bismillah ya allah mudahmudahan thr koko willie amin yra tangan angkat dan rapat sama lipat tangan
846,2020,Kak willie.. Bls Dm riska... BISMILLAH DPT HP BUAT BELAJAR ONLINE😭,kak willie balas dm riska bismillah hp ajar online wajah menang keras
847,2020,Ka komen aku ama chat aku vlis di bls semoga aja ramadan ini dapet amin,kak komen chat vlis balas moga ramadan amin
848,2020,Hallo kak willy.. smoga d bales dehh😂😂,halo kak willy moga balas deh wajah gembira urai air mata wajah gembira urai air mata
849,2020,Bismillah semoga bisa dpet hp. Udh mulai eror. Sodra kena hipnotis jug hp nya ilang brusan,bismillah moga dpet hp eror sodra kena hipnotis jug hp nya hilang brusan
850,2020,DM sampe day brpa kak biar dibaca:( DM sampe day brpa kak biar dibaca:(,dm day kak biar baca dm day kak biar baca
851,2020,Bismilah aku mau baju lebaran kak Willie🙏,bismilah baju lebaran kak willie lipat tangan
852,2020,Maaf ka cek dm saya,maaf kak cek dm
853,2020,Semoga aja kokoh   ada buka DM aku aku udah follow semua akun kokoh di YouTube juga sering komen semoga aja ya koh,moga kokoh buka dm follow akun kokoh youtube komen moga ya koh
854,2020,Bisa aja ka willie😂,kak willie wajah gembira urai air mata
