Tahun,Comments
2020,Yang kuning sama yang biru kak
2020,Chimmy dan koya kak
2020,Chimmy dan rj
2020,Rj dan fan
2020,Mang
2020,Shooky dan rj
2020,Cimi sama koya
2020,Koya dan kuki
2020,Karakrer koya dan van
2020,RM SAMA KUKI
2020,RJ sama CHIMMY
2020,cimi dan koya kak pliss
2020,shookyyy
2020,rj dan tata
2020,rj
2020,kk rj sama chimmy
2020,Koya dan shooky
2020,Chimii kak
2020,RJ dan COOKY dong
2020,Chimi kak
2020,Cimi
2020,@wintangwanudya
2020,Cimi???
2020,mevah ya warnanya wkwkwk @robertussetiadi
2020,Koya sama RJ
2020,Bias ku taekook
2020,Bikin Chimi dan koya kak
2020,Cimi  dongkak
2020,Karakter koya dan chimmy kak plz
2020,Ya ampun. Mau sama yg bikin Tata
2020,Karakter blackpink  kak
2020,Bikin cimmy dan koya kak..??
2020,??
2020,Sehingga tgl. 20 Juni ibu bs mengolah nilai.nya sebelum rapat pleno tgl. 21 Juni..
2020,??
2020,Rj chimmy sohoky
2020,kakak aku ARMY
2020,Yang cimmy
2020,Pls bikin chimmy
2020,Kak..bikin yang Mang sama Chimmy kk
2020,Chimmy
2020,"Humorku sebatas ""cooky botak, tata botak"" ?"
2020,bikin hot chocolate army lagi dunk @siscakohl @aliyyah.kohl ?
2020,shookyyyyy
2020,Koya dan RJ kak plis
2020,Kak buat (koya dan chimmy)
2020,Kak RJ
2020,Kakak sisca simi mang ka
2020,@ttantyynxv Tuh bikin sanaa
2020,Chimmy ka
2020,https://chat.whatsapp.com/JlObl6w1jHQ6ToYEblFkRV kk sisca khol mau masuk grup army aku ga kk
2020,Bikin lah ?@nurarifni_16
2020,Mau chimi dan shorkie
2020,dijual jg laris inisikk chocobomb character
2020,KOYA
2020,Kak bikin karakter chimmy sama mang kak
2020,koya plis
2020,Koya sama mang kak
2020,Emang itu teh kukitata tuh peliharaan kalo emang peliharaan itu nama nya apa peliharaan nya
2020,Kak bikin ciymiy dan rj
2020,Bikin karakter chimmy boleh ga kaka siska kohl
2020,Chimyy
2020,Karakter chimmy kaa sisca
2020,Karakter chimmy kak
2020,Chimmy
2020,Mang ka
2020,Auto bookmark wkwk
2020,Rj sm shokky pasti gampang banget karna warna nya basic?
2020,Chimiy dan koya
2020,??
2020,Rj dan shoky ka
2020,Karakter chimi donk kak
2020,@nadiaajengsari  iya pen bat
2020,Bikin karakter boboiboy dan kawan -kawannya
2020,Cihimi
2020,Semua karakter bt21 dong
2020,Muka nya aja bts
2020,CIMMY
2020,Kk bikin yg RJ sama CIMMY
2020,Chimmy sama rj
2020,Chimmy dan Koya kk
2020,Chimmy?
2020,gemeess bgtt ??
2020,Kak coba bikin versi semua BT21 pasti gemoyyy?
2020,Van dan mang plis
2020,Kaka coba bikin coklat semua bts
2020,Hello Kitty kak
2020,Skzoo kak
2020,Kakak bikin bt21 chimmy koya
2020,?
2020,Blek Ping kak
2020,tata
2020,??
2020,Terang bulan
2020,@ningsih_403 ??
2020,kakkk bales dm tolong
2020,Di tempatq namanya lopes
2020,Di tempat ku martabak manis/ terang bulan
2020,@devinuruladini mending beli aja mom wkwk
2020,@gpamekas
2020,Terang bulan kak
2020,@sopsopsoppp AYO KITA MINTA
2020,Tarang bulan
2020,Ditempat ku namanya terang bulan
2020,@najelaecca
2020,"Di tempatku namanya apam pinang, ada jg beberapa yg bilang martabak manis"
2020,Sama kak martabak manis
2020,@r_julv tapi yg makan kamu
2020,Kalo aku namanya sinar bulan
2020,@febiyanamyn_ ????
2020,Kalau dipun nya ku mar tambak manis
2020,Bikin macaron bt21 ka
2020,@zahraaqh saya tidak suka:)
2020,@itswibs @tyorizk
2020,Kak buat makanan yang terbuat dari cokelat yang enak dan lumer
2020,Bikin color kak
2020,Teramg bulan
2020,Itu bukan martabak itu kue bandung?
2020,tempe mendoan cek ??
2020,Knp masak di kamar terusss? kali" di dapur dong
2020,gapunya alatnya doang cek
2020,Terang bulan?
2020,"Ka. Bikin. Gulali. Dari. Ayam. KFC. Dong,. T ini"
2020,8
2020,"Enakk ya ga pake parkir, gapake antri kalo pengen apa-apa langsung buat dikamar everiting ada ?"
2020,Request martabak tai kak
2020,Terang bulan
2020,@danishalukenza ??
2020,@febryani13_ salam damai ???
2020,Teramg bulan ??
2020,@yuniperot i find u:v
2020,Say brpa takarannya di tulis dong?
2020,@inta.nia03 aku juga terang bulan di kaltim
2020,@_zhrnnisa
2020,Tarang bulan ?
2020,Klok di daerah ku terang bulan
2020,@igd.yudasaputra_03 dikalimantan jg terang bulan
2020,@nameera.27 Aku dari bali
2020,Didaerah ku nama nya martabak mahal?
2020,Itu tepung terigu nya pake protein apa kak??
2020,Terang bulan namanya di sini
2020,Terang bulan namanya
2020,mulai bersarang @magsfir
2020,Yg triphobia mana suaranya???
2020,Ka bikin cakwe hantu goreng itu ks
2020,Martabak telur donkk (martabak asin)
2020,Kak coba bikin martabak manis yang topingnya macam macam selai
2020,@cindyyy67_
2020,Martabak  manis
2020,"@hakaanr bnyak konten makanan lainnya, cuman bukan dompet pelajar, karna pake emas semua:("
2020,@hakaanr
2020,terang bulan
2020,@syafira_amalia_09
2020,Terang bulan
2020,Kk masak bakso k
2020,@siscakohl makan pinggir jalan chekkk
2020,Terang Bulan:v
2020,Kak taruh komposisi setiap bahannya
2020,Buseettt kalengnya sampe penyok ?
2020,Apam kebeu kk
2020,Kk masak burger donk
2020,saya nak perisa bawang
2020,Kk buat martabak pakai keju mozarella donk kk
2020,Terang bulan ciiii
2020,Terang bulan ciiii
2020,2
2020,Kak minta takarannya dund :)
2020,Terang bulan
2020,@belskuyy sama gw juga
2020,@dalilatihusnah muak.. ????
2020,"@zhuuying hahaa, bener.. tunggu aja kalo umur udah mw 30 th, pas di medical check up.. keliatan dah tu gula darah meningkat, plus fatty liver.. ?"
2020,Itu mata nyh ke kamera mulu apa g tumpah adononnyh
2020,@ruth23421 iyaaa hahahah
2020,@clarisacndr  @_putriew_
2020,ci bikin es cendol dong
2020,Mamah @mbhlakh buat ih?
2020,kamarku adlah dapurku
2020,gatau kenapa gue kesel aja liat mukanya  sama suara nya
2020,"Itu knp ga dikeluarim dari loyangnyah, dan menurutku terlalu kentel adonannya"
2020,@najwakhairunnisa14 gawe yok sayang
2020,@aiis.ssss hyu bikin
2020,Geli gue liat terang bulanya
2020,@tas.yaaaa_ kuy
2020,Cara dia ngeluarin skm nya :')
2020,kalau kat malaysia makanan tu dipanggil apam balik
2020,@keysiaparerung yoii
2020,@linda_puspita_sari3
2020,@neyungtan
2020,Nada ngomongnya bikin bengek ako ??
2020,@anggernovando__ ?
2020,@margaretarrr boleh
2020,@anggernovando__ bikin yuuk
2020,Di tempat ku namanya tersng bulan
2020,Martabak?? Bukan nya martabak itu yang telor dicampur sayur daging trus ditutup pakek kulit lumpia atau sejenis nya?
2020,@keysiaparerung BENER BANGETTT
2020,Ka ganggu g aku bomlike? Maaf yah ka . Soalnya aku ngarep bgt dapet hp buat suami aku kerja. Hp nya mati2 terus. Aku stop bomlike nya takut ganggu. Kalau masih boleh bomlike ayo aku siap ??
2020,Kak. Kl mau Halloween ke Wyndham hotel di Casablanca jakarta aja ?
2020,@sheeeeenya aku sudah mengikutinya dari dulu ??
2020,@aykhrnsa sampe sini maksutnyaa
2020,@sheeeeenya kenaffa aku ??
2020,Ada @aykhrnsa
2020,??
2020,Dahlah ini mirip @primarifqah wk
2020,@dayana.syafira.12 iya ya
2020,@clubantikere palingan udah dicuci sebelum buatnya
2020,Cosplay Belle delphine
2020,Kalo sisca KHOL apanya??
2020,lucu jg mienya jd item
2020,"Tadi itu ada ,kembang kol, @Sisca Kohl,dan #aliyyah Kohl"
2020,Aku suka ide buat bikin matanya kreatif banget
2020,Sadis banget
2020,Itu brokoli ngga di rendem air garem uletnya banyak loh
2020,Lagu nya gak cocok sumpah
