Tahun,Comments
2021,@andrewijaya998 udh sering di tiktok
2021,Maksudnya sekali kali bkn es babi guling
2021,@andrewijaya998 itu bebek bukan bab*
2021,Es krimm babi gulingg ??
2021,@bobonsantoso ajakin main bon??
2021,eskrim bebek ???????? ???? ( aku belum pernah melihat masakan seperti ini di luaran sana )
2021,Buat es krim semur jengkol dong
2021,Duh b @umiaslikah eman2 bebeknya ??
2021,@_xyccaaw ohhhh
2021,@nindya8663 di China neng nyarinya :)
2021,Ini @_xyccaaw
2021,Suka bingung sm orang kaya ??
2021,@zhayn_kamil dia mah udh sukses kyanya ngab??
2021,@maayy.sii ini aplg messs
2021,????
2021,@nana.ratnasari.507 dul makan enak
2021,Buakakakakakakak wkwkwkwkwkwkwk wkwkwkwkwkwkwk mantuuuaaapss
2021,????????
2021,@nindyfi
2021,Malem2 pas laper nonton gini kan jadi ga nafsu makan ??
2021,Psikopat wkwk
2021,Keren??
2021,"Saya suka kamu @siscakohl karena hasil karya senimu ,, Pantas saja harga nya mahal , karena harga sebuah SENI itu adalah tak terbatas nominal ,,, jadi wajar aja setiap konten masakan mu harga nya mahal sebanding dengan karya seni kreatif mu yg diluar nalar manusia normal dan hanya kmu yang berani mencoba nyaa,,. Calooon sukses dan Pamooor nya makin tinggi di dunia sosmed ini,, ????????????????????"
2021,Buatt lah eskrimm sayur bayam
2021,@dinisyarifa17 aku tmbh gk kolu mangan
2021,@nurulwiidi delokennn es krim bebek cabang purnama
2021,@zianarahmah93 ??
2021,@ndho_x ?????? seneng ndelok sing aneh2??
2021,@dewiiwuullaann nyampek sini wkwkkwwk
2021,tak kiro Es Bebek Cabang Purnama ??
2021,????
2021,@yylnaaa_ eskrim:)
2021,"@artagasi coba bekingnya jual sama Sisca Kohl,  siapa tahu balek modal 17 Juta????"
2021,Nyebutt??????
2021,@tretanmuslim bang ajakin bikin konten last hope kitchen
2021,??
2021,Stress
2021,Ok ok
2021,??
2021,Tinggal dipakein nasi aja udah kenyang????
2021,@sefnuts_groceries mantab??????
2021,@sefnuts_groceries hahaha biarin aja klo diBuli. Emg beneran bikin mual kan hehe
2021,@meilianaanggunn__ tikus curut sisan ????????
2021,@dewi.rachmayanti_ sama. Mau komen mo muntah takut dibuli??
2021,Bebeknya be like : gini amat dah hidup jadi bebek
2021,@mimip_mip @jagimoni @tiffenyy__ @christi4n.brooklyne  Bebek
2021,Hai kak
2021,@wahyuni_nike ????
2021,@abdul.bsth sama ini dul
2021,@onavimoon
2021,@bobonsantoso mari kita coba ??
2021,@thesantoso1
2021,@esthiwhy ak bacain koment"nya ngakak" dr tadi aneh aneh smua
2021,?? @putririaa
2021,Pengen muntah ga sih ??
2021,@dssmta pen ngelamar jadi babu nya dah
2021,Kasian gabutnya?? @syifadwikap @shelaaprl
2021,@yusup_rp tah yah es krim pecel lele teh
2021,itu kok bentuk nya kyk babi ??
2021,@endingmaya ??
2021,???????????????? ???????? ???? ???? ???????? ???? ???? ???????? ?????? ??????
2021,@evitaaaa_wdr jd kenyataan ?????? @ney.ans
2021,waduh
2021,"gw pengen tau nih, siska berani gak ya bikin eskrim JENGKOL??"
2021,@callmewayan_  yangg
2021,Sue sue kodok kintel bakar digae es krim duh wes angelll sis sis??
2021,??????????????
2021,Allahuakbar siscaaa....coba bikin eskrim ikan asin gih
2021,Kreatif sekali anda ini ya.
2021,@khalilaindana_ makanan org kaya anjirr
2021,????
2021,eneg gasi ?? @ptrhmw_
2021,@rofiahsiti23 ??????
2021,@afidanuraini23 laaah kok ikuut ??
2021,@afidanuraini23 lah ikutan juga ??
2021,@ilyaktop @rofiahsiti23 lah malah reunian ning kene????????
2021,"Jisiiiinnnn... Gegara story @doc.anggara jadi scroll akun ini wkwkwk... Bebek peking enaknya dimakan ama nasi cocolin sambel atau makan sama mie rebus, semoga besok pagi liat bebek peking g parno ??"
2021,@sebat_project ????????
2021,??
2021,"Hi ka,bleh cek dm nya? Thanks kak??????"
2021,Bebeknya minta tolong ddalam mesin es krim
2021,Koslet
2021,@_rnrft ??????????
2021,??????
2021,Es krim daging babi dong sisca????
2021,@ikarosika6 mudahmudahan aja dibacaa yaaa
2021,"@rhenisuji bilangin sisca bund, aku request bikin es krim mantan ????"
2021,"@ikarosika6 sisca tuh kayanya iklan mesin eskrim kali ya, tiap bikin eskrim mesine beda, yu tukuu wwkwk"
2021,@agung_hadir35  @annnurrochman @davidjihankusuma @nama_rudii  bebek paking ada bener ternyata
2021,@arethusazanna_ kog ak ga pngin klo yg ini??
2021,Muall ??????
2021,@rka_cnfsd ya itu tadi bebek blender????
2021,@rka_cnfsd  Ni loh
2021,@__samsulb__ anjing stres
2021,@gilangrz5 oishisouuu
2021,@silfyyivanii what
2021,@gilangrz5
2021,Pengin hati angsaa beli dmn coba????
2021,Selamat mencoba
2021,@adbmla_ uppp
2021,@mallchlw_ open boci sek
2021,@adbmla_ tuku
2021,@mallchlw_ sumpil kudune pollll
2021,di panggang kakak masakannya jangan di goreng ( kolesterol )
2021,Kak...@siscakohl aku minta hati angsanya dungs
2021,"Gabisa nyoba, gapunya duit"
2021,Bisa beli telur nya aja udah sujud syukur
2021,Horang kaya sekali makan hbis berjuta2..
2021,@yola_aswa bct
2021,@yudatansa wkwkwk tongkol brobud??
2021,@pratama_adhe3792 tongkol c3 kita sering pak??
2021,Coba itu yg makan daging qurban gratisan dari kampus minggir dulu @yudatansa @fathul_azis_fan
2021,Ga di ubah jadi ice cream kah?
2021,Nm
2021,Fsjs
2021,sayang
2021,kirain mo d buat es krim ??
2021,@ben.mikael wah ide yg bgus????
2021,Selamat mencoba ???????????????????? *makjleb
2021,Kak Sisca coba deh sound nya diganti yg kayak drama Penthouse ??
2021,Engga rencana ikut @masterchefina kak
2021,@purnahindayani apalagi guru honor ya??
2021,Biasa makan ati ayam di warung pecel aja udah bahagia
2021,Siska kamu udh cantik pinter masak kaya pula... bismillah jadi sodara angkat ??
2021,Banyakin sayur ce. Biar tetep sehat
2021,"hati angsa kan gaboleh di makan bukan? itu kan kontroversi di luar negeri, karna proses nya menyiksa angsa dipaksa di glonggong makanan sampe mati,, melanggar hak asasi hewan ??"
2021,Sering makan ga gendut yak? @siscakohl
2021,Aku seneng lihat hati angsa luxury authentic original nya ??. Seneng lihat pas dimasak no minyak. Itu rasanya kayak ati bebek dimasak kematengan ga ya? ??
2021,@melysitumorang_ wakakakak. Menangis aku liat postingan kakakmu nakk wkk
2021,@accspamofme anda tercyduc??
2021,Langsung beli sapinya skalian  mbak sis.. ??
2021,cantik suka liat nya
2021,Kak angkat aku jadi adik mu
2021,Sisca duit nya bagi" dong
2021,Hati angsa enak ?
2021,"awas kesenggol cepitan itu panx,,, ?? oh ya lupa, gores beli lagi dong ??"
2021,Sisca sekali makan bisa bayar uang kuliah gua 2 semester ??
2021,????
2021,@ben.mikael masker gw retak ??????
2021,mao bikin semewah itu tp apa daya kalo mao beli ape” aje nawar dulu??
2021,@inez_garcia tukoke foie gras
2021,@regitacahyaniz @xxsentsuixx
2021,Angop aku
2021,Coba eskrim nasi uduk
2021,"Tiada hari tanpa makanan mahal,tiada hari tanpa experiment??"
2021,Jdi tai Ji semua itu kak
2021,Woh 6jt500rb
2021,Wahyuuu meresahkan
2021,"Tlong d search dlu sebelum menggunakan bahan2 makanan yng mau kamu jdiin konten ,penggunaan bhan makanan foie gras itu udh d cekal beberapa negara dan jg PETA, karna penyiksaan terhadap angsa yng sangat d luar nalar."
2021,Apa itu telor ayam
2021,??
2021,@sebat_project fak!!????
2021,Ka berarti hati angsa nya keluar minyak ya?
2021,Chef juna said : hmm pleting kurang menarik
2021,@sebat_project @rudi_hertanto celenk????????
2021,Duhhh gue lebih selera nasi Padang ??
2021,Makan mahal2 biar apa sih? Tetep aja bsk pagi jd eeq ????
2021,"6.5jt bisa buat cicilan nmax , cicilan kulkas , cicilan KUR BRI dan cicilan pegadaian .. sama Sisca buat beli daging doang"
2021,@haidarr.24 ekwkwk ngakak
2021,Sisca keren pisan euy bismilah rumah beserta sertifikat nya??
2021,duh enak nya jadi orang kaya..
2021,Hati angsa / fois gras bisa segede itu di balik itu peternaknya kejam. Jd angsa2 itu di paksa makan banyak sampe2 nggk di kasih waktu tidur karna kandang sempit hatinya super gede sampe 10× lipas gedenya dr angsa biasa dgn dikasih makan trs jd gemuk.. Kalo kalisn nggsk prrcaya buka google.
2021,"Sisca, rasa hati angsa itu seperti apa?"
2021,@ben.mikael ????????????
2021,Woi itu dagingnya masih mentah tuh
2021,"Setiap buat menu, ada 3 atau 2 mangkok.. Selalu bertanya dihabiskan oleh siapa itu semua???"
2021,Menu itu akan berakhir di nasi sm telor doank di mangkok gw
2021,??
2021,she still consuming that foie gras:(
2021,dimas bi like : DAGING GUA HILANG MULU ????
2021,??????
2021,Waduuh mulut & perut ndesoku gak sanggup liat daging yg msh merah gitu ????????????
2021,Hentikan Mba.. Hentikan..Cukup aku mangis melihat kemiskinan ini..
2021,"Cba Di Cto Harmin pke daging begini,berapa Are Hargana+ 4ketupat?????@yanasar19"
2021,Selamat nelen ludah??
2021,@abyangreico lu kan nanyain wagyu apaan anjir
2021,"6,5 jt keknya duit untuk beli makan dan bahan makanan gue selama 1 tahun, deh. :')"
2021,@azzuuuraaa ya terus kenapa anjir
2021,@abyangreico wagyu
2021,@niaatrii_ kok ada adekku disini
2021,Sekali makan ini udah bisa bayar UKT gue 2 semester ??
2021,Ha2xxx
2021,apadaya saya yg mkn mie campur nasi??
2021,@kaptenliong untungnya masi waras dia??
2021,Mencoba gigi gondrongggg
2021,Auto nangis dompetnya??
2021,@haidarr.24 KAYANYA GA CUKUP JUAL SAHAM BUAT NIKAHIN SISCA
2021,"Daging 6,5jt tanpa micin, gktw dimana nikmatnya :( #generasimicin"
2021,Kode dagingny aja gk paham ?????? cuma tau kode pensil buat ujian ljk itupun ada tulisannya
2021,"Siscakohl rekrut aku jadi tukang cuci piringmu??, i need a job"
2021,@pury_sumadiono ????????
2021,Bedanya ama daging qurban apa
2021,Ngiler ??????
2021,"Cantik bngt kmu, bismillah PC spek dewa"
2021,terserah deh siscaaaa
2021,Lambung aman.
2021,agak laen
2021,??????
2021,Chagiya kamu mau coba ?????? @thewar_potret
2021,"Gue yakin pas tadi di cut abis nyoba, dia huek2an wkwkwk itu di cut keliatan bgt, trs baru ngangguk2 pura2 suka??????"
2021,Ora kolu mbk
2021,beneran di abisin ga sih ??????
2021,????????
2021,@giew_permadi26 nih??
2021,jail time
2021,Jess pasti bangga ??
2021,wkwkwkw anjirrrrr gua ngakak bgt kepala lelenya ??????
2021,ini buy @raisya_p01
2021,Db legends ????????????
2021,??????????
2021,@lukitodenny21 duh ??
2021,@dewikaibrahim mari kita cobaaaa
2021,aku belum pernah melihat dagang di luaran sana yang berjualan sama persis seperti kakak sisca kohl
2021,rasanya maknyus
2021,eskrim dengan rasa pedas dan juga ditambahkan toping kepala lele
2021,??????????
2021,Please kata bu megawati lele gak boleh digoreng ?? direbus aja ??
2021,Pengen ku marah. Sakit nih org
2021,Aku tarik nafas mulu pas liat dia makan ice cream nya??
2021,Pengen nangis liat seleranya sisca
2021,Setidak nya dia tau pecel lele dkk ??
2021,@dumpynss NO PLEASE
2021,@GLUMMYBL PLEASE?
2021,semuanya dibuat eskrim yawlaa??
2021,Request es krim seblak dong sis??
2021,Next es krim ayam geprek ??
2021,"Kenapa begini, Liat ny ga nafsu??"
2021,@buburchandil ????????
2021,Mau pingsan ????
2021,Pecel lele awas duri cek ??
2021,Kaya liat masakan giant??
2021,Kasian alat es krimnya ternistakan ??
2021,Kelolotan duri cek??
2021,@rizkyna.annisa enaan lalapan lele masih dek??
2021,Mau?? @moch_fayyadh
2021,"Haduuh,, puyeng gue punya anak ke si Siska.. Unik bin ajaib kelakuannye??"
2021,??????
2021,pecinta pecel lele menangis melihat ini????
2021,rasanya gw mual liat nya ??
2021,Lelenya kasian??
2021,??
2021,@ttsmyths
2021,"Gak manusiawi tu siskaa, aduhh gacooww"
2021,"@siscakohl , saya request ice cream asin peda merah ??"
2021,Pasti ni postingan bakal tetap rame sampe beberapa tahun kedepan??
2021,Kukira siscakhol gak makan lele
2021,Disgusting shit
2021,Bukan begitu konsep nya Siska??
2021,@daniarmci5 bisa dicoba??
2021,Auah??
2021,@miniboonie kaya tapi kok ah.... Sudahlah??????
2021,??????????
2021,Nih alat bikin eskrimnya @mohamadimamr27
2021,Allahuakbar siska??
2021,Sisca . Setidakny makanan kmu yg ini bisa kita makan ber2 dipinggir jalan .
2021,Kamu teh sehat?????
2021,@yuliafrianii_ @monica.delaa boleh dicoba nih wkwk
2021,@salsabilacnisa nih siska kohl
2021,kok bisa yaa dia ga ketawa
2021,Wtf dude
2021,"Seketika cengo gw liat nya , pas udh jadi langsung ngakak ??????@hlwaaaaaaa"
2021,Coba seblak
2021,@tatapuw mending mkn yg aslinya
2021,Coba i @marestanti
2021,@imamagus8486
2021,@tyalittya sedih dzah??
2021,@qurrotakiiky Allahuakbar????
2021,@tyalittya boleh dicoba nih ustadzah??
2021,Gabut kali bah????????
2021,????????????
2021,Kreativitas tanpa batas.
2021,@_thiv_aaa_ wkwkwk ??
2021,Sisca ada masalah apa sini cerita siap dengerin kok....????
2021,..
2021,Selapar2 nya gue gamau bgt gue nyentuh tu makanan??
2021,Mual
2021,@najlafitri ?????????????? akhir bulan di akhir zaman ngab ????
2021,??
2021,Gw kira siska gadoyan sm makanan2 buriq ternikqmay macam gini ?? tp tetap saja dia mendzolimi mereka buat naik kasta menjadi icecream sedihh akutuh ??
2021,CAPEK GW CAPEK
2021,Asli parahhh ??????
2021,??????sisca asan ke makan tulang lele nya
2021,@ela_niken
2021,Gak sakit perut???
2021,Tai lincung gk sekalian di es krim ksh
2021,@_octaviae._ hahaha ketinggalan jaman au SBY wes onk??
2021,"Cobak iki,bayangno penyetane AU Pacet di nggo es krim??@fndyachmd._"
2021,Gusti teuing??
2021,??
2021,liat ini pas lg makan??
2021,@staminah_2 hahah
2021,@muhammadsyahril_06 paham ga singue becanda???? ini tuh hiperbola????
2021,@najlafitri lah kok bikin eskrim jadi akhir zaman
2021,@sofi_hdj  mari kita coba
2021,"@yulianti_sartika ice cream ny be ye tik, yg original lebih enak kok??"
2021,Mari kita cobaaa @ikafiti @ghr.tn @sindinanda7 @tiarsih_lestari @rdtadftri_
2021,Ya allah astaghfirullah akhir zaman
2021,Yummyyyyyy??????
2021,@kerangmerconmakassar dia ga mau yang murah wkwk
2021,"Salut sama sisca, pinter masakk banyak makanannn?????? pinterr, tau cara ngolahnya dll"
2021,"@nice_annisa11 abalone itu ada bnyk jenisnya yg kecil"" di kukus sama cangkangnya di kasih bawang putih taburi bihun atasnya kukus 5 menit juga bisa , kalau abalone sejenis video di atas di rebus dulu lama di bikin soup sama ayam juga enak dagingnya jadi lembut biasa sejenis abalone seperti itu dari Australia enak."
2021,Memang bersihnya ngak hilang lumutnya 100% tapi bisa lebih bersih nyucinya dgn sikat Gigi tidak seperti video di atas nyucinya kurang bersih.
2021,@nice_annisa11 saya lebih suka yg lumut abalone lumut hijau lebih Mahal dagingnya lebih enak.
2021,"@nice_annisa11 itu di masak dulu neng nyuci juga harus bersih saya biasa masak di bikin soup sama sirip ikan Hiu yg lumut ijo lebih lembut yg lumut hitam agak keras rebusnya bisa sampai 2 jam , di masak tapi jgn lama"" di Iris tipis tipis kalau terlalu lama jadi keras itu abalone yg kecil bukan yg gede itu atau di kukus 3 - 4 menit dgn kulit jeruk Iris tipis"" kasih Lada udah enak."
2021,@nice_annisa11 ya tidaklah itu Kan lumut orang biasa saya nyuci itu.
2021,Waaahh asik
2021,@sahidha.fitrian_a hidup mu itu di penuhi iri dan dengki
2021,Itu kurang bersih nyucinya yg hitam Hitam bisa di sikat pakai sikat Gigi bisa bersih.
2021,@_kikolin16_ ada di YouTube gan
2021,Jerome colab sma sisca seru kyknya.. hihi
2021,We tau mangan pecel rego 5 ewu ra
2021,@nadiaulya_186 ??
2021,@sahidhafitriana_official539 nanti kalau direkam pada komentar pamer duh ?? lu kira orang kaya gak pernah berbagi apa?
2021,Enakan krecoo ??
2021,Pernah makan keong sawah
2021,Uang nya di bagi2 mba biar lbih bermanfaat
2021,Adeknya lebih merakyat ????
2021,Ikut master chef Indonesia dunk siscakohl..biar para juri MasterChef ngenilaiii makasanyaaaa
2021,"@rizky_oktaviani26 jujur ajaaa. Yg bikin kolestrol harganya kan, bukan seafoodnya."
2021,Sungguh aku kelostrol makan ini @syaitiie
2021,????
2021,@gun_noegroho  yang biasa makan kepitinh di kang kerang ijo mending minggir dlu deh wkwkwkw
2021,Enakk gk sih?? ??
2021,@siscakohl pernah nga' coba KERANG SAMBAL MERCON pasti ketagihan sekali coba ????????
2021,@astrysitanggang12 @inlesstg sendoknya pun emas??
2021,Semenjak ada siska aku tau semua harga makanan yang aneh" wkwk
2021,Saking pengen nya makan kepiting aku cuma sanggup menggunting gambar kepiting di koran dan aku makan dengan halusinasi makan bareng @siscakohl
2021,Iya enak sisca abalon sama kepitingnya (sekali-kali komennya begitu biar ga keliatan susahnya) ??
2021,@liazamzah ??
2021,@satrio.arief04 langganan gue tolong jangan kasih tau ...tar di bikin eskrimm ??
2021,@gioselvi.231 wes ojok koment tedung tedung
2021,KERANG BULU
2021,"Kak Siska coba beli king krab makanan ituh jug termasuk makanan sultan loh kak harganya mungkin 6,500.000"
2021,@rezahikmatt Nah iya bgtt. kadang suka belii. pas nyiduk kerang kek enak gitu ??????
2021,minimal kerang ijo yg keliling rumah pake gerobak??
2021,@satrio.arief04 Ngakakkk
2021,Siska pernah makan kerang di pinggir BKT nggak?
2021,@rezahikmatt ??????
2021,"@fadlinos kerang hijau, inget mang mang dorong pake sendok sayur yang dibolongin ditengahnya ??"
2021,@rezahikmatt googling kak lgsg muncul gambarnya ????
2021,@rfadilahhh_ ??????
2021,@fadlinos kijing apaan oy
2021,@fadlinos wkwkwkwwkwkw
2021,Sis pernah ga yah makan kijing ??
2021,Aku jadi iriii??????
2021,siska cobain beli tutut
2021,Gw yg phobia kepiting bilaikkk ?? ngeri merinding gatel buang muka pengen cepet2 scroll ??????
2021,@anidhaa_
2021,Pengen ini @byaj01 ??
2021,@chandra_pf1 wkwkw ngerasainnnn
2021,@i_n_i_p_i_p_i_k07 hahhahaa...gw denger aja panik..mana tgl tua
2021,Mau abalone!!!!
2021,@yogapantera lidahnya kliatan ga pernah makan enak
2021,"Motor gua aja 4juta ,mahalan makanan dia ,kita ga jadi putus ya??"
2021,@rosseaffandi91 hahaha
2021,@_figguu definisi voya voya dengan makan ??
2021,"@yogapantera sudahi laparmu, dan makanlah bebek goreng bersamaku ??"
2021,@_figguu sudahlah bebek goreng saja ??
2021,@yogapantera tuh kan ????
2021,"bayangin buat beli bebek goreng, kolesterol said ""jangan main-main denganKu anak muda"". ?? @_figguu"
2021,"Sisca Kohl pernah ga yah , denger token listrik bunyi ni NU ni NU , kaya suara ambulan d wisma atlet"
2021,@twentyseven_one ??????????
2021,?? kepiting di muara angke aja masih ue tawar ????
2021,@m.ramdany21 kijing ??
2021,@dillaangesti ??????
2021,@m.ramdany21 ????
2021,@ipeh_th ??
2021,@qiqiiyakin jeria tager 14juta apatak ngakan sepeda motor...mon ekabelli soto sahama olle moso deporra
2021,@gioselvi.231 ????????
2021,@gioselvi.231 4ebu la asyiruttt melloo????
2021,aria gitak tao rassana sotona mak sahama geess @qiqiiyakin soto non kolesterol cokop 4ebu la kenyang
2021,Siska pernah nyobain kijing gak siska
2021,@sifaa.nurul
2021,Kerang kiloan merapat
2021,Selamat mencoba??? Masalahnya beli kepitingnya kurang jauh??
2021,Kalo Mak gue liat ini kayaknya bahaya
2021,@keranjangbelanja10 netijen ngemis online ??
2021,Ada bkp nya ga si
2021,kepiting alaska aja yg belum di makan ni
2021,Rip Tuan Crab
2021,"Orang saya beli kepiting seharga 20 ribu saja dengar harga langsung pingsan , ini dia beli 14 juta belinya pake borongan . ????"
2021,SISCA KOHL FOR MASTERCHEF INDONESIA CHECK !
2021,"@kittensgowilde kurang tau juga Kk say,klo mkn daging bagian capitnya suka,pas Gk sengaja ijo2 itu mutah langsung??"
2021,"@dwika_genta kayanya bukan kotoran siih, soalnya orang orang kalo memang yang suka banget makan kepiting paling suka bagian kuning/oren/ijonya. Gw sih ga suka kepiting, jadi liatnya jijik?? tp yg makan kepiting rata rata makan yg berwarna itu"
2021,@dwika_genta ngerii ya beb ????
2021,"@cantikha_6957 mungkin kotoran si kepiting kli say,orang spontan bikin eneg pen mutah pas Gk sengaja nyoba"
2021,Btw itu kepiting kemarin ada di sungai depan rumah ku
2021,Gw kenalnya "keramg bukur"
2021,@dwika_genta iyyuukkss ????itu apa nya kak yg ijo ???? mureul bgt aku
2021,"@cantikha_6957 pernah makan mutah Aku say,ijo ijo di dalem kepiting itu"
2021,Adeknya seperti tertekan????
2021,Sisca kamu geli ga denger nada bicara mu begitu ?? coba deh dengerin lg?? ciri khas yg unikkk
2021,Muka kepitingnya
2021,Selamat mencoba? Gw makan ayam aja sebulan sekali:(
2021,yg ijo td ky apa iiii ??????????
2021,mencoba patakmu
2021,Kayanya engga mungkin aku makan steak seharga itu...semoga rejekinya seberuntung kalian..
2021,"Beb @rahma.julianti nek sisca kohl wae steak e rego 7,5jt, biyen koncone koncoku kok tuku steak nganti 9jt ya.. luwih tajir seko sisca kohl mesti"
2021,@nina_your_nina fake fucek
2021,@demiantujuhbelas bacot
2021,@nissammtt2nd gabut uy emg??
2021,@bayu_adityamahardika lo gabut komenan 1 thn msh lo bls ??
2021,"@nissammtt2nd tolo sh jaseng,dia yg kaya lu yg sewot??"
2021,@amier.siregar sapi tuh da makan rumput emas kapa
2021,Daging sapi harga ohlins @aqzha_ @tima12_sorong @an_mrty28 @ully_nizco
2021,"Bngsd 7,5 juta besok gw jamin jadi tai"
2021,Dengerin ya kalian kak sisca kohl bilang fu*** you
2021,Emang kenapa???? aku bocil
2021,@tsbih2022 eet bocil??
2021,@ki2prmn  @username.bayus @wpbagindo @hennysaraswaty @putriyukarian @cutmeira
2021,@whisnuariprasetya wwahyu
2021,Kak kamu Kristen kok pakai benda halal seperti sapi zaitun??????
2021,Gaji aja ga sampe segitu ??
2021,@andrew_norad ??
2021,@demiantujuhbelas kalo akhirat milikmu ya?
2021,Buset gw makan daging lebaran hj doang ??
2021,"Dunia milikmu tpi tidak untuk akhirat,, kecuali ....????"
2021,Jiwa miskin ku meronta ronta ??
2021,Walaupun mahal tapi masuk akal lah ya
2021,@novaamaulida
2021,Bikin es krim rasa makanan kucing kak??
2021,"The real terlahir dgn garpu emas,, ehhh sendok emas."
2021,Pake saus black pepper dan red wine...
2021,@peta help
2021,@callme_em11 beliin
2021,@apide.a lo liat sendiri deh ditiktok itu vt lama
2021,"@lalaliza.manoban ini dia review enak sm adek nya, seudzon lu ma die"
2021,Masih kalah lu sama olive wagyu nya @dimsthemeatguy yg harga nya 15juta ????
2021,"Lain kali kalo mau nyembelih hewan kurban , diriview dulu biar keliatan kalo sapi lokal indo lebih juara"
2021,Daging ada olimpiadenya yaAlloh??
2021,@kikin161 ??
2021,gw dulu kurban pake sapi itu lupa gk d review dlu pas d sembelih
2021,Nah jadi pertanyaan lagi gak tuh ??
2021,"????,,aku malah bingung bang itu beraknya bisa di daur ulang kagak ya????"
2021,Kok gw dengernya dia ngomong "fakyu" yak.
2021,@salsabilaylnn ????
2021,Gak dijadiin es krim???
2021,Wa kamu dong ce??
2021,Biyuuh sendok piringya emas semua ye????duh gustii mereka anakny siapa sh ibu bpanya kegimna??????
2021,@dimsthemeatguy  daging steak abang di curi siska khol bang ????????
2021,Olive wagyu tapi gue dengernya olive fakyu wkwkwk monmaap ye kuping orang susah emang radarada budeg
2021,@indraachmadkurniawan  awowkwowkok
2021,Gw penasaran mereka anak siapa si??
2021,W beli Daging sekilo yang harganya 100 rbu aja jarang2 @siscakohl ????
2021,??7ajab.!.b9.9bmbn0 o.00Vm bn. 9bh9v b9i9ng9!h b9bn
2021,Wahyu @ayustama95
2021,@novaharinijunia27 eh semlikum??
2021,@kaelikaaa tercyduk komen ddieu njir ????????
2021,Aku dengernya olifakyu...??
2021,Duit Rp7.5jt yg besoknya udh jd tai
2021,Gk di jadiin eskrim lagi?
2021,@rizky_oktaviani26 gabisa bun. Sertifikat vaksij yg bisaa
2021,Sertifikat nya bisa digadein gk sih @syaitiie
2021,????
2021,"7'5 juta harga motor Revo gua , itu juga nabung bertahun-tahun ??"
2021,"Kirain dijadiin eskrim lagi, sayang sih emang dagingnya kl dijadiin eskrim"
2021,@pras_msl iwan bopeng
2021,@muhamad_arival_viham cak kau check di indomaret
2021,@wrong_serveer bpk nya?
2021,@pras_msl beno torpedo
2021,Nama sapi nya siapa siis
2021,@thisisman_  yang masih kasih daun pepaya ke daging mending minggir dlu deh
2021,@achmad_habibie05
2021,Mlongooo aja cheeeeeck
2021,@eko_febrianto25
2021,@miza.bae
2021,@liesapriyanti_  olive vvakyu??
2021,Nah kiye kali ya mba nek sing digawe steak or alot ???? @jeny_regus
2021,Aduh siska makan daging sapi yg hidup nya merana nelenin biji zaitun ??
2021,Daging Sapi asli dari Indonesia Lebih enak??
2021,"Lahh aku Makan daging, paling setiap hari raya qurban udah jungkir balik:v"
2021,tiap hari mkn tempe tahu harga ny 6 rb wkwk
2021,@rmdhn157 ngerii??
2021,"Bikinkan sai itu dule Coto Makassar daging Begituang,mauku tong tauki Responnta' anak muda????@yanasar19"
2021,@shaqilladewi lo hirup2 aja sambil bayangin makan sate??
2021,@mamaknyadzaky ???? jemuran bau asep smua..nasibbbbbb
2021,"@shaqilladewi ???? yg ga dapet kupon ,yaudah kena asep tetangga ajaa??yg lg bakaran"
2021,@mamaknyadzaky itupun harus antri kupon ??????
2021,Apalah daya yg mkan daging nunggu idhul adha @shaqilladewi ??
2021,Oli fakyu?
2021,Aku taunya daging wahyu ??
2021,Wagyu bukan fak yu deeekkk ??????
2021,@fahrinadama @chenipaputungan napa ee????
2021,@heri.rampok.3  @lulugksalsabila ayo gawe ngene
2021,"@deningopss88 elu ngiri, kalau mati ngirinya kebawa sampai ke neraka ??????"
2021,Mon maap sis itu darahnya masih merembes di piringnya ?? apa ga amis ya
2021,@muluq48 ???
2021,Sapinya sisca aja punya akte??
2021,"@tiarakepangdua nais comment, lov this"
2021,"@ralhansajang cok, gua bukannya ngebela ya, LO TAU DARI MANA ITU UANG HARAM? HAAAA?"
2021,@syifanuraidah Nangis soalnya jual ginjaaaal
2021,@utari.sawitri saking suka nya aku sampe-sampe mau nangissssss ????
2021,"daging sapi 25 cheeeeeeeck.............hari ini, aku dan syifa mau makan wagyu. Wagyu ini aku beli di jepang, harganya 25 juta.  Aku dan syifa suka sekali?? @syifanuraidah"
2021,@ni_ni9292 ?? yang kurban sapi wagyu dimana
2021,@sheaaleaongso
2021,@rohadi.snjy
2021,Horang kaya mah bebas makan apa aja ya sist??
2021,Bener2 jenius
2021,Chef tolong liat mereka chef @junarorimpandeyofficial
2021,Iri aja duit duit dia kok lu yg sewot
2021,inget kalori opor ayam kak
2021,Wkwkwk orang iri komen
2021,Kalau masih harta org tua jgn terlalu di banggain bgt ya dek ...malu ..????
2021,coba donk @siscakohl bikin es krim jengkol doyan gak???
2021,??
2021,@mochammadrafif.b uangnya uang masyarakat
2021,jijayyy
2021,@irmaimd sapa tau dek mau nyoba??
2021,??????
2021,@userxii_ wkwk ????
2021,@chrown_nay nd mksh????
2021,@userxii_ apakah anda mauu nyoba ? ????
2021,Kayak muntahan orang makanan berat di blender gitu di campur² :'(
2021,@biancasharonn_ nggk enak asw??
2021,@hasanah_ainun aaahh boleh tuh ????
2021,@hasanah_ainun ??
